transaction_id,transaction_date,reporting_month,transaction_type,cost_centre,actual_amount,budget_amount,source_file
TXN-00241,2026-03-16,2026-03,Revenue,General & Admin,14930,14073.3,finance_2026_03.csv
TXN-00242,2026-03-20,2026-03,Revenue,Sales & Marketing,17478,17351.61,finance_2026_03.csv
TXN-00243,2026-03-22,2026-03,Revenue,General & Admin,25513,26520.53,finance_2026_03.csv
TXN-00244,2026-03-05,2026-03,Revenue,Technology,17601,17806.09,finance_2026_03.csv
TXN-00245,2026-03-22,2026-03,Revenue,General & Admin,9033,9070.23,finance_2026_03.csv
TXN-00246,2026-03-02,2026-03,Revenue,Operations,14359,13782.31,finance_2026_03.csv
TXN-00247,2026-03-01,2026-03,Revenue,Operations,17135,15900.59,finance_2026_03.csv
TXN-00248,2026-03-08,2026-03,Revenue,General & Admin,10648,9715.26,finance_2026_03.csv
TXN-00249,2026-03-08,2026-03,Revenue,General & Admin,22673,23571.8,finance_2026_03.csv
TXN-00250,2026-03-09,2026-03,Revenue,Technology,11604,10677.7,finance_2026_03.csv
TXN-00251,2026-03-11,2026-03,Revenue,Sales & Marketing,24454,24858.02,finance_2026_03.csv
TXN-00252,2026-03-10,2026-03,Revenue,Sales & Marketing,20870,21538.46,finance_2026_03.csv
TXN-00253,2026-03-01,2026-03,Revenue,Technology,10584,10108.68,finance_2026_03.csv
TXN-00254,2026-03-23,2026-03,Revenue,Sales & Marketing,10385,10487.21,finance_2026_03.csv
TXN-00255,2026-03-23,2026-03,Revenue,Sales & Marketing,14090,13168.19,finance_2026_03.csv
TXN-00256,2026-03-28,2026-03,Revenue,People,11196,10199.7,finance_2026_03.csv
TXN-00257,2026-03-17,2026-03,Revenue,General & Admin,15370,14251.85,finance_2026_03.csv
TXN-00258,2026-03-05,2026-03,Revenue,General & Admin,11979,12267.11,finance_2026_03.csv
TXN-00259,2026-03-12,2026-03,Revenue,Technology,17687,17441.19,finance_2026_03.csv
TXN-00260,2026-03-12,2026-03,Revenue,Operations,21450,20848.22,finance_2026_03.csv
TXN-00261,2026-03-16,2026-03,Revenue,General & Admin,23738,23188.13,finance_2026_03.csv
TXN-00262,2026-03-15,2026-03,Revenue,General & Admin,20634,19401.84,finance_2026_03.csv
TXN-00263,2026-03-02,2026-03,Revenue,General & Admin,17903,17423.27,finance_2026_03.csv
TXN-00264,2026-03-02,2026-03,Revenue,People,25810,25237.43,finance_2026_03.csv
TXN-00265,2026-03-18,2026-03,Revenue,Technology,22858,21883.1,finance_2026_03.csv
TXN-00266,2026-03-15,2026-03,Revenue,Operations,14234,13790.45,finance_2026_03.csv
TXN-00267,2026-03-16,2026-03,Revenue,Sales & Marketing,13242,12659.64,finance_2026_03.csv
TXN-00268,2026-03-16,2026-03,Revenue,General & Admin,14270,13170.46,finance_2026_03.csv
TXN-00269,2026-03-26,2026-03,Revenue,Sales & Marketing,16314,16672.09,finance_2026_03.csv
TXN-00270,2026-03-21,2026-03,Revenue,Operations,19211,17744.66,finance_2026_03.csv
TXN-00271,2026-03-01,2026-03,Revenue,Sales & Marketing,9663,8824.9,finance_2026_03.csv
TXN-00272,2026-03-23,2026-03,Revenue,Technology,24851,25031.17,finance_2026_03.csv
TXN-00273,2026-03-01,2026-03,Revenue,Technology,15723,14766.13,finance_2026_03.csv
TXN-00274,2026-03-01,2026-03,Revenue,Sales & Marketing,14139,13721.85,finance_2026_03.csv
TXN-00275,2026-03-28,2026-03,Revenue,General & Admin,16695,16176.7,finance_2026_03.csv
TXN-00276,2026-03-16,2026-03,Revenue,Technology,18927,18522.74,finance_2026_03.csv
TXN-00277,2026-03-26,2026-03,Revenue,General & Admin,19690,18130.36,finance_2026_03.csv
TXN-00278,2026-03-23,2026-03,Revenue,Technology,16862,17302.34,finance_2026_03.csv
TXN-00279,2026-03-14,2026-03,Revenue,People,12517,12452.64,finance_2026_03.csv
TXN-00280,2026-03-10,2026-03,Revenue,Operations,13108,12453.17,finance_2026_03.csv
TXN-00281,2026-03-02,2026-03,Revenue,Operations,23044,22377.11,finance_2026_03.csv
TXN-00282,2026-03-01,2026-03,Revenue,Operations,12304,12246.71,finance_2026_03.csv
